epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2
82,7565.43,1.404,0.6214,0.88022,0.00057,0,0.7093,0.65776,0.64993,0.35399,1.39292,0.64493,0.92243,0.00073,0,0.000283085,0.000283085,0.000283085
83,7656.51,1.40822,0.61772,0.87868,0.00057,0,0.69683,0.66912,0.65291,0.35743,1.3877,0.65688,0.92097,0.00073,0,0.000268938,0.000268938,0.000268938
84,7747.44,1.37407,0.59644,0.8809,0.00056,0,0.71435,0.65962,0.64496,0.35572,1.3891,0.65316,0.92029,0.00071,0,0.000254791,0.000254791,0.000254791
85,7838.7,1.37707,0.60464,0.87412,0.00056,0,0.73247,0.64999,0.65894,0.36044,1.38832,0.6439,0.91922,0.00072,0,0.000240644,0.000240644,0.000240644
86,7931.76,1.42278,0.61465,0.87472,0.00058,0,0.73036,0.65375,0.65935,0.3588,1.38813,0.63807,0.92029,0.00072,0,0.000226497,0.000226497,0.000226497
87,8025.5,1.43809,0.62581,0.87037,0.00058,0,0.71927,0.64714,0.649,0.35694,1.38908,0.64469,0.92101,0.00073,0,0.000212349,0.000212349,0.000212349
88,8118.87,1.39982,0.61217,0.87195,0.00057,0,0.70788,0.65969,0.65367,0.3569,1.38484,0.63614,0.92,0.00072,0,0.000198202,0.000198202,0.000198202
89,8209.18,1.35945,0.59674,0.87145,0.00057,0,0.70278,0.66774,0.64842,0.35437,1.39174,0.6481,0.92091,0.00072,0,0.000184055,0.000184055,0.000184055
90,8300.47,1.41392,0.61547,0.87614,0.00058,0,0.72627,0.65687,0.6535,0.35884,1.38618,0.64291,0.92119,0.00072,0,0.000169908,0.000169908,0.000169908
91,8391.33,1.38641,0.60875,0.88357,0.00063,0,0.70185,0.65904,0.65252,0.3525,1.39609,0.64473,0.92021,0.00076,0,0.000155761,0.000155761,0.000155761
92,8480.85,1.35788,0.58897,0.87726,0.0006,0,0.71063,0.65653,0.65304,0.35552,1.38272,0.637,0.91824,0.00073,0,0.000141614,0.000141614,0.000141614
93,8571.62,1.34892,0.5771,0.87567,0.00059,0,0.69887,0.6601,0.64893,0.35304,1.39134,0.64462,0.91942,0.00072,0,0.000127467,0.000127467,0.000127467
94,8662.22,1.35445,0.58537,0.87562,0.00058,0,0.71099,0.66266,0.65559,0.35826,1.37963,0.64196,0.91878,0.00071,0,0.00011332,0.00011332,0.00011332
95,8752.53,1.36171,0.58738,0.87215,0.00059,0,0.70362,0.65886,0.65354,0.35834,1.37724,0.63701,0.91514,0.00072,0,9.91726e-05,9.91726e-05,9.91726e-05
96,8842.41,1.34206,0.57469,0.87821,0.00059,0,0.7167,0.65604,0.65524,0.35813,1.39041,0.64042,0.92074,0.00071,0,8.50255e-05,8.50255e-05,8.50255e-05
97,8932.35,1.3402,0.57517,0.87868,0.00058,0,0.71332,0.66712,0.6584,0.35963,1.38139,0.63771,0.91801,0.00071,0,7.08784e-05,7.08784e-05,7.08784e-05
98,9022.52,1.32431,0.56702,0.8795,0.00058,0,0.73535,0.6538,0.65991,0.35887,1.38366,0.63853,0.91933,0.00071,0,5.67313e-05,5.67313e-05,5.67313e-05
99,9112.73,1.33404,0.57168,0.87294,0.00058,0,0.72556,0.65979,0.6567,0.35979,1.37832,0.6333,0.91738,0.00071,0,4.25842e-05,4.25842e-05,4.25842e-05
100,9203.01,1.32839,0.56592,0.87226,0.00058,0,0.72818,0.6651,0.66081,0.36117,1.38037,0.63385,0.91798,0.00071,0,2.84371e-05,2.84371e-05,2.84371e-05
