epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
64,5869.59,1.48483,0.67133,0.89254,0.0004,0,0.71738,0.646,0.64458,0.34611,1.41132,0.67194,0.92107,0.00028,0,0.000537733,0.000537733,0.000537733,0.067913,0
65,5960.56,1.47562,0.66262,0.88671,0.00039,0,0.72764,0.62409,0.64049,0.34532,1.41725,0.66901,0.92589,0.00029,0,0.000523586,0.000523586,0.000523586,0.0650112,0
66,6051.4,1.52352,0.68176,0.88373,0.00037,0,0.73599,0.64164,0.652,0.35254,1.40762,0.66197,0.92543,0.0003,0,0.000509438,0.000509438,0.000509438,0.062154,0
67,6141.81,1.44068,0.64518,0.88924,0.00035,0,0.70778,0.62368,0.6296,0.33651,1.43227,0.67948,0.92308,0.00028,0,0.000495291,0.000495291,0.000495291,0.0593447,0
68,6232.03,1.44951,0.65329,0.8894,0.00034,0,0.71458,0.6446,0.63931,0.34588,1.41521,0.67206,0.92376,0.00028,0,0.000481144,0.000481144,0.000481144,0.0565864,0
69,6322.52,1.47169,0.65528,0.88869,0.00033,0,0.74641,0.62918,0.64873,0.34996,1.39726,0.65557,0.92037,0.00029,0,0.000466997,0.000466997,0.000466997,0.0538822,0
70,6412.78,1.441,0.64753,0.88267,0.00031,0,0.71232,0.64364,0.63953,0.34451,1.41549,0.65935,0.92455,0.00029,0,0.00045285,0.00045285,0.00045285,0.051235,0
71,6503.66,1.45489,0.65392,0.887,0.0003,0,0.7214,0.65846,0.65391,0.34816,1.40498,0.65613,0.92214,0.00029,0,0.000438703,0.000438703,0.000438703,0.0486479,0
72,6596.17,1.4385,0.64447,0.88526,0.00029,0,0.69531,0.65897,0.64067,0.34672,1.40804,0.66785,0.92206,0.00029,0,0.000424556,0.000424556,0.000424556,0.0461238,0
73,6688.75,1.4451,0.64683,0.88272,0.00026,0,0.70619,0.65256,0.64305,0.34406,1.414,0.67838,0.91955,0.0003,0,0.000410409,0.000410409,0.000410409,0.0436654,0
74,6780.1,1.43123,0.63348,0.88649,0.00025,0,0.70617,0.65175,0.64283,0.34189,1.40403,0.67011,0.918,0.00029,0,0.000396262,0.000396262,0.000396262,0.0412755,0
75,6872.41,1.45364,0.65238,0.87925,0.00024,0,0.73288,0.64808,0.65096,0.35274,1.39803,0.65172,0.91898,0.00029,0,0.000382115,0.000382115,0.000382115,0.0389567,0
76,6965.98,1.4098,0.62944,0.88379,0.00023,0,0.7178,0.6644,0.64826,0.34813,1.40944,0.66169,0.92248,0.00029,0,0.000367967,0.000367967,0.000367967,0.0367118,0
77,7058.78,1.4655,0.64917,0.87442,0.00022,0,0.70474,0.6701,0.65553,0.3539,1.39773,0.65152,0.92083,0.00031,0,0.00035382,0.00035382,0.00035382,0.034543,0
78,7151.14,1.42634,0.6307,0.87686,0.0002,0,0.72775,0.66153,0.65728,0.3598,1.39719,0.65441,0.92144,0.00029,0,0.000339673,0.000339673,0.000339673,0.032453,0
79,7242.5,1.42103,0.62496,0.87115,0.0002,0,0.7194,0.64776,0.64867,0.35211,1.39542,0.65368,0.92307,0.0003,0,0.000325526,0.000325526,0.000325526,0.0304441,0
